"Evidence statement GUID","Evidence statement","Evidence Category Code","Evidence statement subject","Set GUID"
"CG66ES154","At the level of the entire cohort, the number of events predicted by the Framingham equation underestimated both true CVD and CHD events by 33% and 32% respectively, as opposed to the statistically non-significant 13% of CHD events in the case of the UKPDS risk engine. (See tables 13.1–13.3","","UKPDS risk engine vs Framingham equation 
","CG66S13"
"CG66ES155","The Framingham results suggested a tendency towards a greater degree of underestimation of CHD events in men than women (41% vs 26%) and for pre-treated rather than untreated BP (42 vs 31%). (See tables 13.1–13.3.)","","UKPDS risk engine vs Framingham equation 
","CG66S13"
"CG66ES156","When using both risk calculation methods similar proportions were assigned, 10-year scores less than 15% (Framingham 27.3% and UKPDS 25.7%). However, the UKPDS risk engine assigned a 10-year score over 30% to 187 (43.7%) of the study participants as compared with only 88 (20.5%) when derived from Framingham.","","UKPDS risk engine vs Framingham equation 
","CG66S13"
"CG66ES157","The 15%, 10-year CHD risk threshold with both the Framingham and UKPDS risk engines had similar sensitivity for primary CVD as the lipid level threshold 85.7 and 89.8% vs 93.9% (p=0.21 and 0.34) and both had greater specificity 33.0 and 30.3% vs 12.1% (p<0.001 and p<0.001).","","Framingham and UKPDS risk engine vs ADA lipid threshold","CG66S13"
"CG66ES158","One study275 compared the prognostic value between these two risk calculators by using data from NHS clinical databases. Level 3","","UKPDS risk engine vs JBS risk chart 
","CG66S13"
"CG66ES159","Overall, the UKPDS risk engine was found to calculate a significantly higher mean 10-year risk (UKPDS vs JBS, 21.5 vs 18.3%, p<0.0001) with the mean difference of 3.2% (95% CI 2.7–3.8).
However, both methods identified approximately 65% of patients with Type 2 diabetes who would require primary prevention intervention and therefore have comparable accuracy in identifying these high-risk patients. 
","","UKPDS risk engine vs JBS risk chart 
","CG66S13"
"CG66ES160","A bias towards men to have a much higher CHD risk with the UKPDS risk engine was reported. The mean difference in risk score between men and woman was approximately 8.4% with the UKPDS risk engine in comparison with 1.7% with the JBS calculator. For men, the UKPDS risk engine calculated CHD risk approximately 6% higher than the JBS calculator.","","UKPDS risk engine vs JBS risk chart 
","CG66S13"
"CG66ES161","Both methods identified similar proportions of patients with CHD risk of at least 15% over 10 years. However, the main differential feature found between the two methods was the tendency of the UKPDS risk engine to identify significantly more patients in the high-risk category (>30%) in comparison with JBS (p<0.001). (See table 13.4.)","","UKPDS risk engine vs JBS risk chart 
","CG66S13"
"CG66ES162","One study276 assessed the prognostic value across four risk calculators. Analysis was conducted by accessing medical records from a cohort of diabetic patients who had attended a NHS clinic for a period of 10 years. Level 3","","JBS risk calculator, the CardioRisk Manager, the PROCAM calculation and the 
UKPDS risk engine","CG66S13"
"CG66ES163","Overall, the study showed that all tests (except PROCAM) demonstrated acceptable discrimination with respect to CHD/CVD, however all underestimated the risk of future events","","JBS risk calculator, the CardioRisk Manager, the PROCAM calculation and the 
UKPDS risk engine","CG66S13"
"CG66ES164","One study278 evaluated these three risk equations in patients with Type 2 diabetes using UKPDS data. Level 3","","Framingham study risk equation, SCORE project risk score and DECODE risk 
equation","CG66S13"
"CG66ES165","The 10-year fatal CVD event rate (95% CI) observed in UKPDS was 7.4% (6.5–8.3).Framingham underestimated this by 32% with an AR of 5.0%, SCORE overestimated risk by 18% (AR 8.7%) whereas DECODE (AR 6.6%) yielded an acceptable estimate. For males, only SCORE provided a reasonable estimate. In females, only Framinghamperformed well. For Caucasians (N=3,207), the 7.9% (6.7–9.0) observed event rate was underestimated by 34% using Framingham (AR 5.2%), overestimated by 19% using SCORE (AR 9.4%), and estimated appropriately by DECODE (AR 7.1%)","","Framingham study risk equation, SCORE project risk score and DECODE risk 
equation","CG66S13"
"CG66ES166","The 10-year fatal CHD event rate (95% CI) observed in UKPDS was 6.3% (5.5–7.1). Framingham underestimated this (AR 4.3%) while SCORE provided a reasonable estimate (AR 5.7%). Both equations provided reliable estimates for females but not males. For Caucasians, the observed rate of 7.2% (6.3–8.1) was underestimated by both Framingham (4.6%) and SCORE (6.2%).","","Framingham study risk equation, SCORE project risk score and DECODE risk 
equation","CG66S13"
"CG66ES167","A study274 reported results from a total of 74 validation exercises which were conductedinvolving different treatments and outcomes in 18 clinical trials (10 of which were not used to build the model).* Level 3For 71 of the 74 exercises there were no statistically significant differences between the results calculated by the model and the results observed in the trial. Overall, the correlation coefficient for all 74 exercises is r=0.99. If the outcomes in the control group and the absolute differences between the control and treated groups are compared for model and trial, the correlation coefficient is r=0.99. Focusing specifically on the absolute differences in the outcomes, which determines the number neededto treat, the correlation coefficient is r=0.97. For the 10 trials that were not used to build the model, the correlation coefficient is also r=0.99.","","External validation of the Archimedes diabetes model","CG66S13"
"CG66ES168","The CTT collaborators meta-analysis identified that there is an approximately linear relationship between the absolute risk reductions in LDL-C found in the 14 studies and the proportional reductions in the incidence of coronary and other major vascular events.281The proportional reductions in major vascular event rates per mmol/l LDL-C reduction were very similar in all subgroups examined (i.e. including the diabetic subgroup), including not just individuals presenting with LDL-C below 2.6 mmol/l (100 mg/dl). Level 1++","","CTT collaborators","CG66S14"
"CG66ES169","The lipid-lowering therapy meta-analysis showed that the RR reductions were similar for both primary and secondary prevention.282 However, the average absolute risk reduction was more than twice as high for those with coronary artery disease (secondary prevention) than for those without it (primary prevention). Primary prevention trials – fixed effects analysis due to level of heterogeneity (p=0.18). The pooled RR for CV events with lipid-lowering therapy was 0.78 (0.67 to 0.89), with number needed to be treated (NNT) for benefit of 34.5 (for 4.3 years). Secondary prevention analysis – random effects analysis as there was substantial between study heterogeneity (p=0.03). The pooled RR for CV events with lipid-lowering therapy was similar to that for primary prevention 0.76 (0.59 to 0.93), with NNT for benefit for of 13.8 (for 4.9 years). The authors concluded that target cholesterol levels and the effectiveness of dose titration (or the use of multiple agents) have not been rigorously examined. Most studies compared a lipid lowering drug with placebo but did not evaluate the effect of reaching specific cholesterol levels. Level 1++
","","Meta-analysis – lipid-lowering therapy","CG66S14"
"CG66ES170","One RCT291 found that over the 5 years of double-blind treatment, the incidence of a major CV event* was significantly lower in patients receiving atorvastatin 80 mg than in those receiving atorvastatin 10 mg. This represented a 25% reduction in the risk of major CV events in favour of the high-dose group (p>0.026). This trend was observed across all quintiles of patient age and duration of diabetes and in patients with HbA1c =7% and A1C >7%. Level 1++","","Statins and ezetimibe","CG66S14"
"CG66ES171","The same RCT291 reported significant differences between the groups, in favour of atorvastatin 80 mg, for the secondary outcomes of time to cerebrovascular event (p<0.037) and time to CV event (p<0.044). Level 1++","","Statins and ezetimibe","CG66S14"
"CG66ES172","A post hoc analysis of the ASCOT-LLA study290 found a significantly lower incidence of CV events in the subpopulation of people with Type 2 diabetes treated with atorvastatin –10 mg when compared with those receiving placebo. (Hazard ratio 0.77, 95% CI 0.61 to 0.98, p<0.036.) Level 1+","","Statins and ezetimibe","CG66S14"
"CG66ES173","A post hoc analysis of the DALI trial286 showed that both standard and aggressive therapy with atorvastatin (10–80 mg) did not reverse endothelial dysfunction (as measure by the surrogate marker of flow mediated vasodilatation). Level 1+","","Statins and ezetimibe","CG66S14"
"CG66ES174","A post hoc analysis of the CARDS trial289 analysed the time between initiation of atorvastatin 10 mg and the appearance of significant differences in the incidence of CV events when compared to placebo. The study demonstrated that by 1 year of follow-up the estimate of the treatment effect of atorvastatin 10 mg on the primary endpoint of major CV events was already at its final values of 37% reduction, and by 18 months the CI did not include unity. Level 1++","","Statins and ezetimibe","CG66S14"
